房源名称,面积,租金
"正规大三居室 和谐家园 公园悦府 8号线回龙观东大街城铁站",110,7500
"回龙观13号地铁 正规三居室 没有精装修随时入住",120,8000
"三居精装修 随时看房入住 和谐家园一区 8号线平西府田园风光",133,7900
"和谐家园一区 两居精装修 8号线平西府 真实图片 好房随时看",89,6400
"和谐家园 精装三居室 押一付一 随时看房",119,7500
"霍营回龙观城铁 精装主卧独卫 零押金月付 和谐家园一区",30,2800
"和谐家园一区 正规三居室 可朋友合租 一家人住 八号线 东大街站",124,7700
"和谐家园 精装两居出租 8号线地铁 包物业",98,6500
"回龙观东大街 和谐家园 三居室 押0付1 随时可看.拎包住",130,8000
"和谐家园 三居室 家具家电齐全随时看",120,8000
"和谐家园一区 精装次卧出租 回龙观东大街站边 押0付一 可短",17,1700
"和谐家园一区 四家合住出租主卧独卫 包物业取暖 东大街地铁站",25,2500
"和谐家园一区 精装大四居出租 挨着东大街 大学生别业优选 可月付",114,8500
"回龙观东大街地铁 和谐家园一区 店长推荐 拎包入住",118,8200
"回龙观13号地铁 龙跃苑龙腾苑精装三居室 随时入住",118,8200
"和谐家园一区 大主卧精装修 8号线回龙观东大街 交通便利",25,2800
"和谐家园一区 南向主卧带阳台 装修没的说 情侣优选 可月付",25,2700
"回龙观8号线13号线 正规三居两卫次卧出租 随时入住",18,2100
"和谐家园一区精装主卧,8号线回龙观东大街站,0押金可月付",102,2790
"八号线和谐家园+中楼层三居室+随时入住",96,5600
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700
"和谐家园 南向主卧独卫 零押金月付 8号线回龙观东大街站",20,3300
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700
"和谐家园一区 正规南北通透三居室 合租优选 地铁近 挨着东大街",120,7900
"和谐家园 三居室 家具家电齐全随时看",120,8000
"地铁边,急租好房和谐家园一区 正规南北通透三居室 合租优选",120,7900
"和谐家园一区 精装大次卧 8号线回龙观东大街 押0付1",15,2000
"和谐家园,主卧,三家合租,押0付1",25,2000
"回龙观东大街 精装次卧主卧带阳台 押0付1 无 随时入住",16,2000
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700
"和谐家园一区 精装大四居出租 挨着东大街 大学生别业优选 可月付",114,8500
"合租朝南次卧1700/月, 两家合住,业主出租。",18,1700
"回龙观8号线13号线 正规三居两卫次卧出租 随时入住",18,2100
"正规大三居室 和谐家园 公园悦府 8号线回龙观东大街城铁站",110,7500
"回龙观东大街 霍营 和谐家园一区 3户合租120平米 正规主卧带阳台",120,2400
"个人直租|和谐家园一区 主卧独卫 朝南 无*拎包入住",26,3600
"地铁边,急租好房南向主卧独卫 情侣合租均可 随时看 随时入住",24,3100
"南向主卧独卫 情侣合租均可 随时看房 随时入住 挨着东大街",24,3100
